10percentage,12percentage,collegeGPA,English,Logical,Quant,Domain,ComputerProgramming,ElectronicsAndSemicon,ComputerScience,MechanicalEngg,ElectricalEngg,TelecomEngg,CivilEngg,conscientiousness,agreeableness,extraversion,nueroticism,openess_to_experience,CollegeState_Andhra Pradesh,CollegeState_Assam,CollegeState_Bihar,CollegeState_Chhattisgarh,CollegeState_Delhi,CollegeState_Goa,CollegeState_Gujarat,CollegeState_Haryana,CollegeState_Himachal Pradesh,CollegeState_Jammu and Kashmir,CollegeState_Jharkhand,CollegeState_Karnataka,CollegeState_Kerala,CollegeState_Madhya Pradesh,CollegeState_Maharashtra,CollegeState_Meghalaya,CollegeState_Orissa,CollegeState_Punjab,CollegeState_Rajasthan,CollegeState_Sikkim,CollegeState_Tamil Nadu,CollegeState_Telangana,CollegeState_Union Territory,CollegeState_Uttar Pradesh,CollegeState_Uttarakhand,CollegeState_West Bengal,Degree_B.Tech/B.E.,Degree_M.Sc. (Tech.),Degree_M.Tech./M.E.,Degree_MCA,Gender_f,Gender_m,CollegeTier_1,CollegeTier_2,Specialization_CE,Specialization_CS,Specialization_EC,Specialization_EL,Specialization_ME,Specialization_other,GraduationYear_0,GraduationYear_2007,GraduationYear_2009,GraduationYear_2010,GraduationYear_2011,GraduationYear_2012,GraduationYear_2013,GraduationYear_2014,GraduationYear_2015,GraduationYear_2016,GraduationYear_2017
84.3,95.8,78,515,585,525,0.635978756,445,0,0,0,0,0,0,0.9737,0.8128,0.5269,1.3549,-0.4455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
85.4,85,70.06,695,610,780,0.960603252,0,466,0,0,0,0,0,-0.7335,0.3789,1.2396,-0.1076,0.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,68.2,70,615,545,370,0.450876584,395,0,0,0,0,0,0,0.2718,1.7109,0.1637,-0.8682,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85.6,83.6,74.64,635,585,625,0.974396113,615,0,0,0,0,0,0,0.0464,0.3448,-0.344,-0.4078,-0.9194,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
78,76.8,73.9,545,625,465,0.124502074,0,233,0,0,0,0,0,-0.881,-0.2793,-1.0697,0.09163,-0.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89.92,87,76.32,560,555,620,0,645,0,407,0,0,0,0,-0.3027,-0.6201,-2.2954,-0.7415,-0.8608,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86.08,67.5,72.98,590,435,380,0.356536488,405,0,346,0,0,0,0,1.7081,-0.1054,-1.0379,-2.0092,-1.0872,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
92,91,85.8,545,555,590,0.8295846,0,0,0,469,0,0,0,-0.0154,1.2114,0.01,0.1459,1.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
90,91.2,85.03,615,670,530,0.694479328,735,366,0,0,0,0,0,-0.159,0.5454,-0.6048,-0.7415,-0.2859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,72.2,78,605,565,545,0.493596387,385,324,0,0,0,0,0,-1.308,0.5454,-0.9122,0.9066,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88.6,83.7,74.9,565,455,565,0.765673581,485,0,0,0,0,0,0,0.0464,0.8128,0.0914,0.1798,0.0284,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
81,86,72.29,495,605,715,0.968237496,605,0,0,0,0,0,0,-2.272,1.1248,0.8171,-0.4078,-0.4455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83.6,69.83,60,380,580,470,0.229481755,0,266,0,0,0,206,0,0.1282,0.5454,-0.7585,-0.995,0.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
60.8,62.4,60,495,425,645,0.538386893,385,333,0,0,0,0,0,0.3555,0.0328,-0.598,-0.2902,-1.2354,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
81.2,79.9,67.67,395,565,645,0,495,0,376,0,0,0,0,0.7027,0.7119,0.01,-0.995,0.6721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69.54,64.43,63,485,520,355,0.308400583,355,0,0,0,0,0,0,1.7465,1.9048,0.672,-0.2902,1.2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85.8,74.8,64.8,685,530,620,0,515,0,0,0,0,0,0,1.1336,1.0449,0.7785,-0.6147,-0.8608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60.8,66.66,74.74,465,585,515,0.911395278,545,0,500,0,0,0,0,0.8463,1.0449,-1.0659,-1.6289,0.6721,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
65,64.8,69.54,465,495,515,0.563267824,425,0,0,0,0,0,0,-0.159,0.3789,1.3933,-0.2344,1.4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,62.2,76.3,485,445,435,0.864685413,525,0,0,0,0,0,0,0.8192,0.2668,-0.2714,-0.4078,-0.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
91.2,84.63,78.15,455,535,445,0.635978756,445,0,0,0,0,0,0,-0.1082,0.9688,0.5269,-0.2902,0.3444,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
75.67,74.4,74.01,385,555,445,0.635978756,445,0,0,0,0,0,0,-1.0355,-0.5913,-1.3599,0.06223,-1.3539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
92.5,95.2,76,395,455,485,0,455,0,0,0,0,0,0,-0.4463,-0.6201,-0.6048,0.7798,-2.7769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
70,43.42,55.52,370,360,270,0.649389715,0,356,0,0,0,0,0,-0.7335,-2.1186,-1.9881,-0.4879,-5.0763,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
88,90,76,625,555,630,0.356536488,475,0,346,0,0,0,0,0.4155,0.8027,0.1357,-0.995,-0.6692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
86.8,82.8,78,575,585,575,0.744758354,565,0,438,0,0,0,0,0.0464,1.2028,-0.9245,0.5323,-0.2875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
90.88,82.5,66.15,415,335,405,0.884122512,535,333,0,313,0,0,320,0.8192,0.1888,-1.7954,1.8249,1.1343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76.8,83,76.44,535,510,605,0.88162007,0,420,0,0,0,0,0,0.99,1.3779,0.7785,-0.2344,-0.6692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,68,72,580,570,385,0.20739217,335,260,0,0,0,313,0,0.1282,0.7119,1.3933,-0.3612,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,74,68,485,375,435,0.486747008,345,0,376,0,0,0,0,-3.1994,-1.8393,0.0552,0.0623,-0.7615,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84,92,77.2,475,405,695,0.670743151,455,0,0,0,0,0,0,-0.4173,0.6568,-0.0537,-1.2303,-0.9194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
77.2,86.1,71,560,485,450,0.622642916,485,0,407,0,0,0,0,-0.0154,1.2114,1.0859,-1.5021,0.2889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,84.4,79.3,570,475,295,0.413838256,385,0,0,0,0,0,0,-0.7335,-0.4536,-1.0659,1.1601,-0.4776,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,68.4,74.3,560,530,605,0.911395278,445,0,500,0,0,0,0,-0.7335,0.5454,-0.7585,-0.6147,1.4386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
71,68,70.86,430,510,405,0.356536488,465,0,346,0,0,0,0,1.5644,1.0449,0.3174,-1.8824,1.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
85,61,64.98,570,475,430,0,0,0,0,0,0,0,0,-0.4854,-0.5213,2.1129,-0.735,1.8224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
91.5,93.8,74.1,380,535,530,0.525922584,415,0,0,0,0,0,0,-1.0208,0.2124,0.4711,0.2727,-0.0943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
77,85.4,63.9,475,605,415,0.649389715,435,356,0,0,0,0,0,0.2718,0.5454,0.3174,-1.8824,-0.4776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
52.33,67,77.15,450,525,545,0.735795709,475,0,0,0,0,0,0,-0.0154,1.2114,0.6248,0.7798,0.8637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,89.66,76.4,510,640,635,0.124502074,0,233,0,0,0,0,0,0.3941,1.2808,0.2366,-2.1998,-0.4455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66.6,68.6,60.22,425,595,475,0.130441736,0,0,0,286,0,0,0,-0.4173,0.3448,0.0914,-0.4078,0.6603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
75,60,66,380,545,460,0.356536488,395,0,346,0,0,0,0,-0.8772,-1.1196,-1.0659,-1.2486,-1.4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91.4,73,71,555,560,825,0.23780284,525,0,315,0,0,0,0,-0.0154,0.2578,-0.5349,-1.1218,-1.359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
59,87.7,71.04,300,340,355,0.112139438,155,228,0,0,0,0,0,-0.0154,-2.4516,-0.4511,0.2727,-3.1602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
84.5,82.5,92.1,425,525,515,0.377551419,375,0,0,0,0,0,0,0.51,0.6568,-0.6343,0.2973,0.1864,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95.8,87.16,79,430,395,500,0.066960707,0,0,0,253,0,0,0,-0.5899,-1.1196,0.4711,-0.7415,-1.4356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
85.6,82,74.01,370,495,455,0.080055281,445,0,253,0,0,0,0,0.1282,0.5454,0.1637,-0.4879,0.8637,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
69.6,71.4,77,485,415,575,0.925645767,0,0,0,0,0,0,0,-0.4173,0.6568,-0.7794,1.7074,0.1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
86.6,75,74,505,545,565,0.356536488,475,0,346,0,0,0,0,-2.5039,0.0328,0.3817,0.26793,0.5024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
